1;Richard Caparáz;Masculino
2;Neisi Patricia Dajomes Barrera;Femenino
3;Rebeca Andrade;Femenino
4;Italo Ferreira;Masculino
5;ANDRADE Rebeca;Femenino
6;Kelvin Hoefler;Masculino
7;Rayssa Leal;Femenino
8;Daniel Cargnin;Masculino
9;Mayra Aguiar;Femenino
10;Fernando Scheffer;Masculino
11;Bruno Fratus;Masculino
12;Yulimar Rojas;Femenino
13;Julio Mayora;Masculino
14;Keydomar Vallenilla;Masculino
15;Daniel Dhers;Masculino
16;Mariana Pajon;Femenino
17;Luis Mosquera Lozano;Masculino
18;Carlos Alberto Ramirez Yepes;Masculino
19;Idalys Ortiz;Femenino
20;Rafael Yunier Alba Castillo;Masculino
21;Aremi Fuentes;Femenino
22;G. Agundez Garcia;Femenino
23;Mexico;Mixto
